Pclass,Sex,Fare,FamilySize,IsAlone,InCabin,Room,Title,Age*Class,Fare_Per_Person,Embarked_C,Embarked_Q,Embarked_S,FareGroup_A,FareGroup_B,FareGroup_C,FareGroup_D,FareGroup_E,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_N,Deck_T,AgeGroup_Adult,AgeGroup_Baby,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Student,AgeGroup_Teenager,AgeGroup_Unknown,AgeGroup_Young Adult
0.8419,0,2.17806441028492,-0.5583,1,False,-0.0,0.6862,1.4286,-0.1562,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,1,2.079441541679836,0.0734,0,False,-0.0,-0.9323,2.4026,-1.0623,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.3521,0,2.3690748342628787,-0.5583,1,False,-0.0,0.6862,1.9611,0.0624,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.8419,0,2.2682524139135403,-0.5583,1,False,-0.0,0.6862,0.8443,-0.053,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,1,2.586823743668066,0.7051,0,False,-0.0,-0.9323,0.4547,-1.1686,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.8419,0,2.324835701928865,-0.5583,1,False,-0.0,0.6862,-0.1686,0.0118,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.8419,1,2.155151800914312,-0.5583,1,False,-0.0,-0.9323,1.078,-0.1824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.3521,0,3.4011973816621555,0.7051,0,False,-0.0,0.6862,0.0911,-0.7026,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,1,2.1076888046179385,-0.5583,1,False,-0.0,-0.9323,0.1431,-0.2367,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.8419,0,3.224857896545748,0.7051,0,False,-0.0,0.6862,0.3768,-0.8035,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.8419,0,2.1855792552411137,-0.5583,1,False,-0.0,0.6862,-1.2983,-0.1476,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-1.5461,0,3.2958368660043287,-0.5583,1,False,-0.0,0.6862,-0.0647,1.1229,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-1.5461,1,4.422048709343543,0.0734,0,True,-0.2893,-0.9323,-0.6621,0.7249,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.3521,0,3.2958368660043287,0.0734,0,False,-0.0,0.6862,2.013,-0.1343,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-1.5461,1,4.1299529896894684,0.0734,0,True,-1.1667,-0.9323,-0.0387,0.5021,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-0.3521,1,3.3576215989452787,0.0734,0,False,-0.0,-0.9323,-0.0128,-0.0871,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.3521,0,2.5915163848462583,-0.5583,1,False,-0.0,0.6862,0.5586,0.3169,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,0,2.107178296651436,-0.5583,1,False,-0.0,0.6862,0.3768,-0.2373,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.8419,1,2.188856327665703,0.0734,0,False,-0.0,-0.9323,0.8443,-0.9788,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,1,2.107178296651436,-0.5583,1,False,-0.0,-0.9323,2.2467,-0.2373,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-1.5461,0,4.100989104940768,0.0734,0,False,-0.0,0.6862,0.169,0.48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
