Pclass,Sex,Fare,FamilySize,IsAlone,InCabin,Room,Title,Age*Class,Fare_Per_Person,Embarked_C,Embarked_Q,Embarked_S,FareGroup_A,FareGroup_B,FareGroup_C,FareGroup_D,FareGroup_E,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_N,Deck_T,AgeGroup_Adult,AgeGroup_Baby,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Student,AgeGroup_Teenager,AgeGroup_Unknown,AgeGroup_Young Adult
0.8419,0,2.110213200346589,0.0734,0,False,-0.0,0.6862,0.4547,-1.0388,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1.5461,1,4.2805931204649,0.0734,0,True,2.2175,-0.9323,-0.2725,0.617,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.8419,1,2.188856327665703,-0.5583,1,False,-0.0,-0.9323,0.7664,-0.1439,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1.5461,1,3.990834185852436,0.0734,0,True,4.599,-0.9323,-0.3504,0.3959,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8419,0,2.2027647577118348,-0.5583,1,False,-0.0,0.6862,1.4676,-0.1279,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,0,2.246892662898172,-0.5583,1,False,-0.0,0.6862,-1.2983,-0.0774,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-1.5461,0,3.9676942027986066,-0.5583,1,True,-0.2266,0.6862,0.1431,1.8918,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.8419,0,3.094445746490024,1.9684,0,False,-0.0,-2.5508,-1.1036,-1.4683,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.8419,1,2.4959537387180646,0.7051,0,False,-0.0,-0.9323,0.8443,-1.2206,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.3521,1,3.4362684713837415,0.0734,0,False,-0.0,-0.9323,-0.5322,-0.0271,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.8419,1,2.873564639579784,0.7051,0,True,-2.7334,-0.9323,-0.9477,-1.0045,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-1.5461,1,3.316002535598924,-0.5583,1,True,3.3456,-0.9323,0.2469,1.146,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.8419,0,2.2027647577118348,-0.5583,1,False,-0.0,0.6862,0.2989,-0.1279,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.8419,0,3.4742929367327062,3.2318,0,False,-0.0,0.6862,1.7793,-1.6547,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.8419,1,2.180891922715322,-0.5583,1,False,-0.0,-0.9323,-0.1686,-0.153,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.3521,1,2.8332133440562166,-0.5583,1,False,-0.0,-0.9323,1.5975,0.5935,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.8419,0,3.405355391810819,2.6001,0,False,-0.0,-2.5508,-1.1036,-1.5353,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-0.3521,0,2.6390573296152593,-0.5583,1,False,-0.0,0.6862,-1.2854,0.3713,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.8419,1,2.9444389791664403,0.0734,0,False,-0.0,-0.9323,1.1559,-0.4024,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.8419,1,2.107178296651436,-0.5583,1,False,-0.0,-0.9323,-1.2983,-0.2373,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.3521,0,3.2958368660043287,-0.5583,1,False,-0.0,0.6862,0.5586,1.1229,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.3521,0,2.6390573296152593,-0.5583,1,True,0.4001,0.6862,0.5067,0.3713,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8419,1,2.200463769927285,-0.5583,1,False,-0.0,-0.9323,-0.0907,-0.1306,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-1.5461,0,3.5973122605884464,-0.5583,1,True,-2.7334,0.6862,-0.5322,1.4679,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8419,1,3.094445746490024,1.9684,0,False,-0.0,-0.9323,-0.6361,-1.4683,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.8419,1,3.4777725458882283,3.2318,0,False,-0.0,-0.9323,1.7013,-1.6538,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.8419,0,2.107178296651436,-0.5583,1,False,-0.0,0.6862,-1.2983,-0.2373,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-1.5461,0,5.575949103146316,2.6001,0,True,-1.668,0.6862,-0.7659,-0.8256,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8419,1,2.1837114628556327,-0.5583,1,False,-0.0,-0.9323,-1.2983,-0.1497,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.8419,0,2.1855792552411137,-0.5583,1,False,-0.0,0.6862,-1.2983,-0.1476,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-1.5461,0,3.3576215989452787,-0.5583,1,False,-0.0,2.3048,-0.2205,1.1936,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-1.5461,1,4.9939691827870725,0.0734,0,True,1.7788,-0.9323,-1.2724,1.1612,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8419,1,2.169053700369523,-0.5583,1,False,-0.0,-0.9323,-1.2983,-0.1665,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.3521,0,2.4423470353692043,-0.5583,1,False,-0.0,0.6862,2.1688,0.1462,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-1.5461,0,4.420896324687287,0.0734,0,False,-0.0,0.6862,-0.5322,0.724,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1.5461,0,3.970291913552122,0.0734,0,False,-0.0,0.6862,-0.1686,0.3803,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
